State,        Action 1,  Action 2,  Action 3,  Action 4,  Action 5,  Action 6,  Action 7,  Action 8,  Action 9
-o- -x- x-o,  7.190000,     -    ,  9.000000,  7.190000,     -    ,  7.190000,     -    , -7.471000,     -    
-o- -x- xo-,  7.190000,     -    ,  9.000000,  7.190000,     -    ,  7.190000,     -    ,     -    ,  7.190000
-o- -xo --x,  9.000000,     -    ,  7.190000, -0.837100,     -    ,     -    ,  7.190000,  7.190000,     -    
-o- -xo -x-, -0.837100,     -    , -0.837100, -7.471000,     -    ,     -    ,  7.190000,     -    ,  7.190000
-o- -xo oxx,  9.000000,     -    , -0.910000, -0.910000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -xo x--,  7.190000,     -    ,  9.000000,  7.190000,     -    ,     -    ,     -    ,  7.190000,  7.190000
-o- -xo xox,  9.000000,     -    ,  9.000000,  7.190000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -xo xxo, -9.100000,     -    ,  9.000000, -9.100000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -xx --o, -0.837100,     -    ,  7.190000,  9.000000,     -    ,     -    ,  7.190000, -0.837100,     -    
-o- -xx -o-,  7.190000,     -    ,  7.190000,  9.000000,     -    ,     -    ,  7.190000,     -    ,  7.190000
-o- -xx o--,  7.190000,     -    ,  7.190000,  9.000000,     -    ,     -    ,     -    , -0.837100,  7.190000
-o- -xx oox,  9.000000,     -    ,  9.000000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    
-o- -xx oxo, -0.910000,     -    , -0.910000,  9.000000,     -    ,     -    ,     -    ,     -    ,     -    
